tweet_id,tweet_full_text,tweet_lang,created_at
1237370300104208390,@rtphokie Stunning picture!!! #SuperMoon #SuperTuesdayResults #SuperMoon3020 #amazing,en,Tue Mar 10 13:30:43 +0000 2020
1237370179727876097,"Bluesolar - believe in me

#vacation #believe #maldives #relax #chillout #magic #beautiful #amazing #music
https://t.co/udBmoLfinK",en,Tue Mar 10 13:30:14 +0000 2020
1237370107581665280,"RT @WellbeingUmbrel: Today is #InternationalDayOfAwesomeness 

We’re celebrating our awesomeness for picking ourselves up after a major set…",en,Tue Mar 10 13:29:57 +0000 2020
1237370036492414978,"It's : 2020-03-10T13:29:40.1807651Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 13:29:40 +0000 2020
1237370002820542470,"Sometimes we just can't help ourselves...

#motivation #happylife #dreamers #goodmorningpost #amazing #igers #picoftheday #instadaily #instagood #bestoftheday #instacool #socialmedia #talent #spirit #inspire #inspiration  #creative #positiveenergy #happymind #positivethoughts https://t.co/HfT46V8Poh",en,Tue Mar 10 13:29:32 +0000 2020
1237369797555388417,RT @bolton__castle: It might be #windy in #Yorkshire #today but we are open. Come in and #shelter in the #Castle and #discover how Mary Que…,en,Tue Mar 10 13:28:43 +0000 2020
1237369465752498177,"RT @HassyTheBasskid: ""NOT OFFICIAL"" but I like it😁
#action #NACARBIDE #stage #asian #band #femalefronted #rock #搖滾 #ロック #heavymetal #重金属 #力…",en,Tue Mar 10 13:27:24 +0000 2020
1237369416767037440,"""NOT OFFICIAL"" but I like it😁
#action #NACARBIDE #stage #asian #band #femalefronted #rock #搖滾 #ロック #heavymetal #重金属 #力量金属 #メタル #Thai #Japanese #Bangkok #曼谷 #バンコク #Thailand #泰國 #Japan #日本 #amazing #fun #indie #music #fan https://t.co/ebGJBbonnQ",en,Tue Mar 10 13:27:12 +0000 2020
1237368777148444672,"It's : 2020-03-10T13:24:40.0665632Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 13:24:40 +0000 2020
1237368664871100416,"I take a thorough care of my body. I am constantly massaged up. In other words I cherish it 
 #eagles #amazing https://t.co/PsY3PjHuRn",en,Tue Mar 10 13:24:13 +0000 2020
1237368617408139264,"RT @pattucheenu: 🌿If You Want Find Peace 
Fall In Love With Nature🌿 

#Amazing #Nature #Beach #Ocean 
#Travelphotography #Travel #Music #Lo…",en,Tue Mar 10 13:24:02 +0000 2020
1237368216021651461,"Wish You all a Wonderful, Colorful and Musicful Holi With Super Duper Hit Song.📢📢🎶
Loca : YO YO HONEY SINGH 
@asliyoyo #LOCA #iamloca #locachallenge 
#Holi #Holi2020 #HoliFestival #dishameena #YoYoHoneySingh #locasong #Dance #dancers #yoyonewsong #amazing #kota https://t.co/6bB5kiHhqN",en,Tue Mar 10 13:22:26 +0000 2020
1237368028247076865,"RT @DewaynejMalone: #hardwork... #focus... carry on... 
Always #aim for the best #results!
Good morning, everyone!
.
.
#igotmaloned #amazin…",en,Tue Mar 10 13:21:41 +0000 2020
1237367844276338688,"RT @Snishaa2: Happy #Monday 💐 Welcome to New Week🌸May Be Full of Peace🕊 and Joy😃Much Love and Hugs💞💐🤗

#MondayMotivaton #GoodEvening
#Bali…",en,Tue Mar 10 13:20:57 +0000 2020
1237367518186082306,"It's : 2020-03-10T13:19:39.8582051Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 13:19:40 +0000 2020
1237367472241512448,"#hardwork... #focus... carry on... 
Always #aim for the best #results!
Good morning, everyone!
.
.
#igotmaloned #amazing #photooftheday #transformationtuesday #transformation #transform #fitness #fitspiration #fitnessjourney https://t.co/dxPLP9vjaL",en,Tue Mar 10 13:19:29 +0000 2020
1237367464356347907,"If ever in #Lincoln #Nebraska , #I #Highly #Recommend thenightbeforelounge #ThankYou #again #Queens... #All #Beautiful with #Amazing #Personalities... #👀 #👍

lincolnnebraskausa 
huskers… https://t.co/8e9m7jBgWo",en,Tue Mar 10 13:19:27 +0000 2020
1237367341672837124,@motel6 Yonna is doing #thebestjob this #morning #thanks for being #amazing #bestsmile,en,Tue Mar 10 13:18:58 +0000 2020
1237366978265911298,"Are you ready for this? 😱 We present you Summer Washed Denim Bucket Hat! https://t.co/3H81mM6xcz $22.00
#amazing #style #aestheticpost #aestheticfashion https://t.co/7mMW1g9Vx2",en,Tue Mar 10 13:17:31 +0000 2020
