tweet_id,tweet_full_text,tweet_lang,created_at
1236729430656999424,"Yesterday, a #racist white man yelled at my college daughter on way to lead singing at a #church worship service in #NorthamptonMA #Massachusetts #Mass.gov ""Chinks with the #Coronavirus should not be on the bus."" It shook her. Sad world living in #fear and in the era of #MAGA.",en,Sun Mar 08 19:04:08 +0000 2020
1236729370791870467,What scares you? And how do you find courage again? Stan Stewart explores #fear and #courage https://t.co/o3oN9hZJuK RT @muz4now https://t.co/sr3gXhjha0,en,Sun Mar 08 19:03:53 +0000 2020
1236728663820963840,"""Before you can become a millionaire, you must learn to think like one. You must learn how to motivate yourself to counter fear with courage."" Thomas J. Stanley #QuotesAt2 #millionaire #fear #courage https://t.co/McPqZv7cWc",en,Sun Mar 08 19:01:05 +0000 2020
1236728482555670530,"RT @Ranal55: God’s plan for you does not include fear, loneliness and unhappiness; so why have you resigned yourself to that?

#quote #God…",en,Sun Mar 08 19:00:22 +0000 2020
1236727477059256320,RT @the_einherjar_: Fear can be debilitating or liberating. Fear is very real. Very raw. Especially when tied deeper with past experiences.…,en,Sun Mar 08 18:56:22 +0000 2020
1236727455714381824,"Went to the grocery store last night. All the water was gone, TP, most of the food, etc. I asked one of the stock people what was going on &amp; he said “everybody is worried about the #coronavirus. It’s coming.” You cannot live your #lives in #fear. We only get one, remember?",en,Sun Mar 08 18:56:17 +0000 2020
1236727106878537731,"C'Mon Baby, Light YOUR Fire!🎶🎵   When u make the #commitment 2 take care of ur #spirit, u will grow #stronger each day. #Lovingattention to your inner self is what will enable you to stay strong against #fear, #anger, #hatred and #ignorance. #InternationalWomensDay #selfcare",en,Sun Mar 08 18:54:54 +0000 2020
1236726996438102016,"RT @Ranal55: God’s plan for you does not include fear, loneliness and unhappiness; so why have you resigned yourself to that?

#quote #God…",en,Sun Mar 08 18:54:27 +0000 2020
1236724941212585985,"📣 New Podcast! ""Q&amp;A #8 - Curveball Efficiency, Should You Do Driveline, Velo Reads on a Budget + More"" on @Spreaker #curveball #diamondkinetics #driveline #fastball #fear #nerves #pitching #pitchingcoach #pocketradar #rapsodo #spin #spinrate https://t.co/G0o2Yc9VCi",en,Sun Mar 08 18:46:17 +0000 2020
1236724792935448577,"When Old man of #God become #stubborn, they forget to #humble themselves Making live more complicated for others When what's right contradict their views, opinions &amp;intelligence, they won't change bcuze of #fear of losing their title, #status.©®
B.B.Welderufael

@RevJohnHMoore1",en,Sun Mar 08 18:45:42 +0000 2020
1236724145779388416,#Fear is the #tax that conscience pays to guilt. George Sewell #teamfollowback,en,Sun Mar 08 18:43:08 +0000 2020
1236723665590460416,RT @carlaacarlson: There is often less danger in the things we fear than in the things we desire. #Fear #Desire #ThinkBIGSundayWithMarsha h…,en,Sun Mar 08 18:41:13 +0000 2020
